web_id,url,title,type,price,deposit,private_owner,professional_name,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,subdistrict,postalcode,last_update
99201624,https://www.idealista.com/en/inmueble/99201624/,Flat / apartment for rent in Malasaña-Universidad,Flat,2000,1,False,Inmobiliaria Internacional CPM,98,90,3rd,1940,east,3,1,True,True,False,True,True,True,False,False,True,False,False,False,", Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,,21 October
28251411,https://www.idealista.com/en/inmueble/28251411/,"Flat / apartment for rent in calle del Espíritu Santo, 19",Flat,1580,2,True,,35,30,3rd,,,1,1,True,True,False,True,True,True,True,False,False,False,False,False,"Calle del Espíritu Santo, 19, Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,28004,22 October
99228356,https://www.idealista.com/en/inmueble/99228356/,"Flat / apartment for rent in calle Mira el río baja, 8",Flat,1100,1,True,,45,,1st,,,1,1,True,True,False,True,True,True,False,False,True,False,False,False,"Calle Mira el río baja, 8, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28005,5 November
99229525,https://www.idealista.com/en/inmueble/99229525/,"Flat / apartment for rent in calle de Atocha, 20",Flat,2400,1,False,Be Premium Real Estate,63,,1st,,,2,1,True,True,False,True,True,True,True,False,True,False,False,False,"Calle de Atocha, 20, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,1 November
99230192,https://www.idealista.com/en/inmueble/99230192/,"Penthouse for rent in calle de Atocha, 20",Penthouse,3510,1,False,Be Premium Real Estate,107,,6th,,,2,2,True,True,False,True,True,True,True,True,True,False,False,False,"Calle de Atocha, 20, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,1 November
99230652,https://www.idealista.com/en/inmueble/99230652/,"Flat / apartment for rent in calle de Atocha, 20",Flat,2010,1,False,Be Premium Real Estate,50,40,4th,,,1,1,True,True,False,True,True,True,True,False,True,False,False,False,"Calle de Atocha, 20, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,28 October
99230325,https://www.idealista.com/en/inmueble/99230325/,"Flat / apartment for rent in calle de Atocha, 20",Flat,3510,,False,Be Premium Real Estate,90,,5th,,,2,2,True,True,False,True,True,True,True,False,True,False,False,False,"Calle de Atocha, 20, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,1 November
96542537,https://www.idealista.com/en/inmueble/96542537/,Flat / apartment for rent in calle del Carmen,Flat,1900,2,False,Rightplace Apartments,55,,5th,,,2,1,True,True,False,True,True,False,True,False,False,False,False,False,"Calle del Carmen, Subdistrict Sol, District Centro, Madrid, Madrid city, Madrid",Centro,Sol,28013,3 November
99244424,https://www.idealista.com/en/inmueble/99244424/,Flat / apartment for rent in plaza del Ángel,Flat,2200,,False,Rightplace Apartments,72,,3rd,,,2,2,True,True,False,True,True,False,True,False,False,False,False,False,"Plaza del Ángel, Subdistrict Huertas-Cortes, District Centro, Madrid, Madrid city, Madrid",Centro,Huertas-Cortes,28012,3 November
97674283,https://www.idealista.com/en/inmueble/97674283/,Flat / apartment for rent in plaza del Ángel,Flat,2300,,False,Rightplace Apartments,72,,3rd,,,2,2,True,True,False,True,True,False,True,False,False,False,False,False,"Plaza del Ángel, Subdistrict Huertas-Cortes, District Centro, Madrid, Madrid city, Madrid",Centro,Huertas-Cortes,28012,3 November
